Vernier Format 2
Sin título.cmbl 8/09/2026 13:40:46 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.6367795	0.00343	0.629690833333	-0.10471975512	-0.504206228353	2.26569593638
0.1	0.6312915	0.08103375	-0.399039212963	-0.13962634016	-0.324825166343	-0.334521439972
0.15	0.654101	0.00868933333333	-1.35639032407	-0.13962634016	-0.285070444492	-5.01782159949
0.2	0.637294	-0.14406	-0.829567731481	-0.13962634016	-0.736916795287	-10.7030700333
0.25	0.628719	-0.113666388889	0.446847484568	-0.191986217719	-1.59988514766	-11.674852123
0.3	0.624946	-0.0502113888889	0.935140802469	-0.314159265359	-2.20105411224	-6.6721136158
0.35	0.624946	0.005145	0.853953549383	-0.436332312999	-2.30771312208	-0.479426862431
0.4	0.625289	0.0513547222222	0.407153703704	-0.558505360638	-2.09439510239	2.78498525704
0.45	0.6336925	0.0363961111111	0.150538888889	-0.645771823238	-1.85198826184	2.32710566933
0.5	0.6285475	0.0287738888889	0.533237962963	-0.733038285838	-1.80350689373	0.38246412621
0.55	0.6316345	0.100994444444	0.745972067901	-0.820304748437	-1.8810770827	-0.511747774505
0.6	0.641067	0.136437777778	0.408477006173	-0.925024503557	-1.91016590357	-0.231633203197
0.65	0.647927	0.128339166667	0.242481944444	-1.01229096616	-1.91016590357	0.37169048885
0.7	0.6517	0.149300277778	0.254127006173	-1.11701072128	-1.88107708271	1.14739237862
0.75	0.6631905	0.163973055556	0.128519135802	-1.20427718388	-1.77441807286	1.46521468069
0.8	0.669193	0.160543055556	0.0383228395062	-1.29154364648	-1.71624043113	1.28744966428
0.85	0.6786255	0.165402222222	0.00105864197532	-1.37881010908	-1.61927769491	0.495587318469
0.9	0.686686	0.155398055556	0.0721464506173	-1.44862327916	-1.62897396853	-0.931919631465
0.95	0.6930315	0.166164444444	0.252168518519	-1.53588974175	-1.74532925199	-1.66452697181
1	0.702464	0.190936666667	0.257567592593	-1.62315620435	-1.86168453546	-1.19048692806
1.05	0.71344	0.195795833333	0.186268055556	-1.72787595947	-1.88107708271	-0.393237763568
1.1	0.7218435	0.203418055556	0.190132098765	-1.81514242207	-1.83259571459	-0.743380977701
1.15	0.7331625	0.218281388889	0.133124228395	-1.90240888467	-1.92955845082	-1.57833787294
1.2	0.74431	0.221997222222	0.00386404320987	-2.00712863979	-2.04591373428	-1.56217741691
1.25	0.7561435	0.212850555556	-0.0221256172839	-2.11184839491	-2.09439510239	-1.40057285654
1.3	0.7650615	0.212183611111	0.0801391975309	-2.21656815003	-2.1428764705	-1.91770744972
1.35	0.776552	0.225331944444	0.101682561728	-2.32128790515	-2.27862430121	-2.51564432309
1.4	0.7880425	0.230762777778	-0.041287037037	-2.44346095279	-2.43376467917	-2.28401111989
1.45	0.800219	0.223902777778	-0.262225617284	-2.56563400043	-2.55981623626	-0.921145994108
1.5	0.810852	0.204656666667	-0.492797839506	-2.70526034059	-2.55981623626	1.19048692806
1.55	0.821142	0.173977222222	-0.68340632716	-2.82743338823	-2.42406840555	2.97352391081
1.6	0.829031	0.129196666667	-0.713842283951	-2.94960643587	-2.2301429331	3.90005672359
1.65	0.8336615	0.0923241666667	-0.539748611111	-3.05432619099	-1.9683435453	3.25363848211
1.7	0.837263	0.0745072222222	-0.336383487654	-3.14159265359	-1.82289944097	0.894211900712
1.75	0.8408645	0.0643125	-0.234489197531	-3.22885911619	-1.85198826184	-1.86922608161
1.8	0.84378	0.0543083333333	-0.216492283951	-3.31612557879	-2.08469882877	-3.03816573495
1.85	0.846181	0.0452569444444	-0.265877932099	-3.43829862643	-2.29801684846	-1.47060149936
1.9	0.848582	0.0301077777778	-0.359620679012	-3.56047167407	-2.24953548035	0.565615961296
1.95	0.849611	0.00733638888889	-0.41758132716	-3.66519142919	-2.1428764705	0.829570076565
2	0.849268	-0.0153397222222	-0.413240895062	-3.76991118431	-2.11378764964	-0.134670466976
2.05	0.8477245	-0.0327755555556	-0.431502469136	-3.87463093943	-2.1428764705	-1.56217741691
